Geometric Albedo

Wavelength	Metal-rich	Ultramafic	Feldspathic	Basaltic	Granitoid	Clay	Ice-rich-silicate	Fe-oxidized	
micron			

6.486546e-01	8.591353e-02	4.516197e-01	5.034940e-01	2.282386e-01	5.088352e-01	5.709597e-01	3.266654e-01	1.701287e-01	
6.544295e-01	8.706574e-02	4.518771e-01	5.047621e-01	2.285893e-01	5.088631e-01	5.734504e-01	3.269722e-01	1.712477e-01	
6.602557e-01	8.745027e-02	4.505865e-01	5.057107e-01	2.289661e-01	5.088557e-01	5.727381e-01	3.273032e-01	1.709140e-01	
6.661339e-01	8.753730e-02	4.511698e-01	5.069113e-01	2.291117e-01	5.092935e-01	5.773378e-01	3.274284e-01	1.712926e-01	
6.720643e-01	8.849635e-02	4.525923e-01	5.084509e-01	2.294026e-01	5.084909e-01	5.769524e-01	3.276839e-01	1.715524e-01	
6.780476e-01	8.789610e-02	4.539909e-01	5.098966e-01	2.295722e-01	5.082995e-01	5.778397e-01	3.278313e-01	1.719804e-01	
6.840841e-01	8.876859e-02	4.521341e-01	5.112308e-01	2.298674e-01	5.086922e-01	5.825270e-01	3.280889e-01	1.725652e-01	
6.901744e-01	8.982398e-02	4.496981e-01	5.129446e-01	2.300091e-01	5.080412e-01	5.842272e-01	3.282106e-01	1.727521e-01	
6.963189e-01	8.993196e-02	4.472615e-01	5.145004e-01	2.301927e-01	5.086517e-01	5.862163e-01	3.283672e-01	1.734685e-01	
7.025181e-01	8.977845e-02	4.455923e-01	5.159818e-01	2.305858e-01	5.087352e-01	5.872595e-01	3.287096e-01	1.741893e-01	
7.087725e-01	9.119878e-02	4.451976e-01	5.175953e-01	2.307813e-01	5.082697e-01	5.889123e-01	3.288760e-01	1.751705e-01	
7.150826e-01	9.017583e-02	4.438548e-01	5.188869e-01	2.311852e-01	5.089415e-01	5.924868e-01	3.292277e-01	1.755845e-01	
7.214488e-01	9.051522e-02	4.412118e-01	5.205776e-01	2.313910e-01	5.086001e-01	5.927129e-01	3.294043e-01	1.763467e-01	
7.278718e-01	9.070642e-02	4.391040e-01	5.230572e-01	2.315410e-01	5.092500e-01	5.953439e-01	3.295336e-01	1.765608e-01	
7.343519e-01	9.038644e-02	4.350947e-01	5.244988e-01	2.318832e-01	5.090868e-01	5.949046e-01	3.298318e-01	1.767165e-01	
7.408897e-01	8.987292e-02	4.321388e-01	5.261380e-01	2.319100e-01	5.092806e-01	5.958182e-01	3.298488e-01	1.771876e-01	
7.474857e-01	9.043590e-02	4.256302e-01	5.275235e-01	2.319383e-01	5.102986e-01	5.985750e-01	3.298631e-01	1.771456e-01	
7.541404e-01	8.996637e-02	4.193379e-01	5.290572e-01	2.321979e-01	5.110685e-01	5.991837e-01	3.300815e-01	1.768426e-01	
7.608544e-01	9.001121e-02	4.117861e-01	5.307061e-01	2.322905e-01	5.111008e-01	5.990514e-01	3.301501e-01	1.768944e-01	
7.676281e-01	8.947180e-02	4.048720e-01	5.322272e-01	2.327074e-01	5.126679e-01	6.023111e-01	3.305039e-01	1.762334e-01	
7.744622e-01	8.933765e-02	3.979381e-01	5.331485e-01	2.325935e-01	5.123438e-01	6.066361e-01	3.303879e-01	1.761058e-01	
7.813571e-01	8.898316e-02	3.893311e-01	5.346910e-01	2.323205e-01	5.131342e-01	6.073781e-01	3.301302e-01	1.762473e-01	
7.883134e-01	8.919458e-02	3.803425e-01	5.358275e-01	2.322643e-01	5.141623e-01	6.081643e-01	3.300651e-01	1.755417e-01	
7.953316e-01	8.850992e-02	3.722145e-01	5.367620e-01	2.318236e-01	5.155395e-01	6.104768e-01	3.296604e-01	1.742356e-01	
8.024123e-01	8.856145e-02	3.644501e-01	5.381385e-01	2.311714e-01	5.158516e-01	6.105404e-01	3.290732e-01	1.739665e-01	
8.095560e-01	8.852311e-02	3.557033e-01	5.393637e-01	2.305448e-01	5.161923e-01	6.098127e-01	3.285148e-01	1.725868e-01	
8.167634e-01	8.789569e-02	3.468922e-01	5.402972e-01	2.300350e-01	5.162887e-01	6.106939e-01	3.280625e-01	1.720665e-01	
8.240349e-01	8.797486e-02	3.380358e-01	5.409353e-01	2.294387e-01	5.167784e-01	6.121507e-01	3.275349e-01	1.713612e-01	
8.313711e-01	8.784179e-02	3.293641e-01	5.414150e-01	2.285030e-01	5.169385e-01	6.131520e-01	3.267076e-01	1.705496e-01	
8.387726e-01	8.746891e-02	3.215779e-01	5.418105e-01	2.272421e-01	5.171381e-01	6.131591e-01	3.255862e-01	1.699984e-01	
8.462401e-01	8.804458e-02	3.144404e-01	5.417662e-01	2.259849e-01	5.175041e-01	6.111043e-01	3.244448e-01	1.699010e-01	
8.537740e-01	8.862101e-02	3.070233e-01	5.417218e-01	2.247357e-01	5.178712e-01	6.090914e-01	3.233115e-01	1.698035e-01	
8.613750e-01	8.919821e-02	3.003291e-01	5.416775e-01	2.234944e-01	5.182394e-01	6.071182e-01	3.221860e-01	1.697062e-01	
8.690437e-01	8.977618e-02	2.935989e-01	5.416331e-01	2.222609e-01	5.186085e-01	6.051829e-01	3.210684e-01	1.696088e-01	
8.767806e-01	8.845744e-02	2.874486e-01	5.411209e-01	2.204725e-01	5.173236e-01	6.040576e-01	3.194415e-01	1.697101e-01	
8.845864e-01	8.727557e-02	2.817264e-01	5.404856e-01	2.185516e-01	5.162610e-01	6.028733e-01	3.176994e-01	1.694878e-01	
8.924617e-01	8.711096e-02	2.770801e-01	5.398692e-01	2.165398e-01	5.169708e-01	6.023786e-01	3.158952e-01	1.664781e-01	
9.004072e-01	8.850918e-02	2.728022e-01	5.392411e-01	2.150388e-01	5.175349e-01	6.022784e-01	3.145557e-01	1.662559e-01	
9.084233e-01	8.955914e-02	2.686069e-01	5.384482e-01	2.136460e-01	5.176282e-01	6.013790e-01	3.133169e-01	1.656015e-01	
9.165109e-01	8.966545e-02	2.645105e-01	5.372937e-01	2.122543e-01	5.179486e-01	5.984386e-01	3.120784e-01	1.642954e-01	
9.246704e-01	8.887768e-02	2.607026e-01	5.356837e-01	2.109113e-01	5.192001e-01	5.933869e-01	3.108792e-01	1.637040e-01	
9.329026e-01	8.739130e-02	2.573345e-01	5.344241e-01	2.097481e-01	5.179777e-01	5.937937e-01	3.098344e-01	1.639639e-01	
9.412080e-01	8.653281e-02	2.545112e-01	5.328500e-01	2.089367e-01	5.177228e-01	5.942341e-01	3.090934e-01	1.644951e-01	
9.495874e-01	8.706204e-02	2.521084e-01	5.309407e-01	2.079551e-01	5.174184e-01	5.910650e-01	3.081947e-01	1.652425e-01	
9.580414e-01	8.521494e-02	2.498912e-01	5.293337e-01	2.073335e-01	5.174292e-01	5.890679e-01	3.075403e-01	1.645822e-01	
9.665707e-01	8.671220e-02	2.486990e-01	5.275920e-01	2.068369e-01	5.191959e-01	5.913865e-01	3.069721e-01	1.660112e-01	
9.751759e-01	8.807892e-02	2.474141e-01	5.257230e-01	2.066345e-01	5.193086e-01	5.930944e-01	3.066469e-01	1.649630e-01	
9.838577e-01	8.728796e-02	2.460583e-01	5.236608e-01	2.066921e-01	5.179811e-01	5.917497e-01	3.065372e-01	1.661461e-01	
9.926168e-01	8.809185e-02	2.450700e-01	5.217233e-01	2.069228e-01	5.189594e-01	5.924011e-01	3.065801e-01	1.677006e-01	
1.001454e+00	8.918119e-02	2.440195e-01	5.190110e-01	2.074122e-01	5.192314e-01	5.909381e-01	3.068414e-01	1.685504e-01	
1.010370e+00	8.906815e-02	2.433252e-01	5.175384e-01	2.081286e-01	5.196118e-01	5.886554e-01	3.072611e-01	1.701134e-01	
1.019365e+00	8.838264e-02	2.430327e-01	5.155460e-01	2.088960e-01	5.192828e-01	5.863705e-01	3.076993e-01	1.716401e-01	
1.028440e+00	8.763798e-02	2.426527e-01	5.140457e-01	2.100851e-01	5.200989e-01	5.871047e-01	3.085574e-01	1.753522e-01	
1.037596e+00	8.979758e-02	2.421961e-01	5.125167e-01	2.113607e-01	5.194993e-01	5.898230e-01	3.095615e-01	1.748924e-01	
